Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Trench,Pet Cheetah,Twenty One Pilots,59,2020-12-12 16:08:10+00:00
Lock Me Up,Lock Me Up,The Cab,52,2020-12-12 16:08:09+00:00
Harverd Dropout,Esskeetit,Lil Pump,50,2020-12-12 16:08:08+00:00
Day69: Graduation Day,BILLY,6ix9ine,68,2020-12-12 16:08:08+00:00
Harverd Dropout,Butterfly Doors,Lil Pump,53,2020-12-12 16:08:08+00:00
FATHER OF 4,Tats On My Face,Offset,47,2020-12-12 16:08:07+00:00
ONEPOINTFIVE,BLACKJACK,Aminé,53,2020-12-12 16:08:07+00:00
FATHER OF 4,Clout (feat. Cardi B),Offset,69,2020-12-12 16:08:06+00:00
My Beautiful Dark Twisted Fantasy,POWER,Kanye West,81,2020-12-12 16:08:05+00:00
KIDS SEE GHOSTS,Reborn,KIDS SEE GHOSTS,71,2020-12-12 16:08:05+00:00
FATHER OF 4,Red Room,Offset,61,2020-12-12 16:08:05+00:00
Prepare for Black and Blue - EP,Oh Darlin' What Have I Done,The White Buffalo,57,2020-12-12 16:08:04+00:00
I AM YOU,Murder on My Mind,YNW Melly,81,2020-12-12 16:08:04+00:00
Origins (Deluxe),Natural,Imagine Dragons,84,2020-12-12 16:08:03+00:00
Savage Mode,Bad Guy,21 Savage,49,2020-12-12 16:08:02+00:00
Blur (Special Edition),Song 2 - 2012 Remaster,Blur,83,2020-12-12 16:08:01+00:00
Wow.,Wow.,Post Malone,84,2020-12-12 16:08:01+00:00
Startender (feat. Offset and Tyga),Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,50,2020-12-12 16:08:01+00:00
Three Days Grace,I Hate Everything About You,Three Days Grace,33,2020-12-12 16:08:00+00:00
One-X,Pain,Three Days Grace,69,2020-12-12 16:08:00+00:00
Red Teenage Melody,Still Cold / Pathway Private,Night Lovell,65,2020-12-12 16:08:00+00:00
Lil Pump,Boss,Lil Pump,60,2020-12-12 16:07:59+00:00
Woodstock,Feel It Still,Portugal. The Man,83,2020-12-12 16:07:59+00:00
“99”,"""99""",Barns Courtney,50,2020-12-12 16:07:59+00:00
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,64,2020-12-12 16:07:58+00:00
Bury Me Face Down,Bury Me Face Down,grandson,60,2020-12-12 16:07:57+00:00
a modern tragedy vol. 1,Overdose,grandson,51,2020-12-12 16:07:56+00:00
Scorpion,Nonstop,Drake,82,2020-12-12 16:07:55+00:00
Plain Jane REMIX (feat. Nicki Minaj),Plain Jane REMIX (feat. Nicki Minaj),A$AP Ferg,74,2020-12-12 16:07:55+00:00
i am > i was,out for the night,21 Savage,61,2020-12-12 16:07:54+00:00
i am > i was,a&t,21 Savage,56,2020-12-12 16:07:54+00:00
i am > i was,asmr,21 Savage,64,2020-12-12 16:07:53+00:00
i am > i was,1.5,21 Savage,64,2020-12-12 16:07:53+00:00
i am > i was,gun smoke,21 Savage,59,2020-12-12 16:07:53+00:00
i am > i was,good day,21 Savage,51,2020-12-12 16:07:52+00:00
i am > i was,ball w/o you,21 Savage,85,2020-12-12 16:07:52+00:00
i am > i was,pad lock,21 Savage,71,2020-12-12 16:07:51+00:00
i am > i was,monster,21 Savage,61,2020-12-12 16:07:50+00:00
i am > i was,letter 2 my momma,21 Savage,55,2020-12-12 16:07:50+00:00
i am > i was,4L,21 Savage,63,2020-12-12 16:07:49+00:00
"Sincerely, Tokyo",Ned Flanders (feat. A$AP Ferg),MadeinTYO,56,2020-12-12 16:07:49+00:00
Issa Album,Dead People,21 Savage,58,2020-12-12 16:07:48+00:00
Without Warning,Disrespectful,21 Savage,63,2020-12-12 16:07:47+00:00
